id,name,supermarket,zip_code,price,url,category
25864666,NATIVA leche infantil continuación 2 bote 800 gr,dia.es,28020,9.99,https://www.dia.es/compra-online/bebe/leche-para-bebes/p/108337,bebe|leche_para_bebes
25861344,KELLOGGS cereales all bran golden crunch caja 390 gr,dia.es,28020,3.09,https://www.dia.es/compra-online/despensa/desayunos-y-dulces/cereales/p/283095,despensa|desayunos_y_dulces|cereales
25863208,SORBOS pajitas comestibles sabor lima caja 170 gr,dia.es,28020,2.75,https://www.dia.es/compra-online/bebidas/refrescos/p/291493,bebidas|refrescos
25858884,Vino frizzante amabile rosado Bollicina 75 cl.,carrefour.es,28020,1.81,https://www.carrefour.es/supermercado/vino-frizzante-amabile-rosado-bollicina-75-cl/R-783800400/p,bebidas|vinos|rosado
25864791,SPONTEX guantes desechables talla M caja 20 uds,dia.es,28020,2.55,https://www.dia.es/compra-online/cuidado-del-hogar/utensilios-de-limpieza/p/235949,cuidado_del_hogar|utensilios_de_limpieza
25867939,Coloración permanente Garnier 5.35 castaño canela,mercadona.es,28020,3.5,https://tienda.mercadona.es/product/78595/coloracion-permanente-garnier-535-castano-canela-color-sensation-caja,cuidado_del_cabello|coloracion_cabello
25865081,DIA SUPER PACO friegasuelos concentrado cítrico botella 1 lt,dia.es,28020,1.85,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/272371,cuidado_del_hogar|productos_de_limpieza|hogar
25866442,Licor sin alcohol mora Pi.omka,mercadona.es,28020,2.5,https://tienda.mercadona.es/product/13610/licor-sin-alcohol-mora-piomka-botella,bodega|licores
25867171,Salchichón de bellota ibérico La Hacienda del ibérico,mercadona.es,28020,8.99,https://tienda.mercadona.es/product/58246/salchichon-bellota-iberico-hacienda-iberico-pieza,charcuteria_y_quesos|embutido_curado
25861794,VALOR chocolate negro 70% cacao s/azucar tableta 125 gr,dia.es,28020,1.75,https://www.dia.es/compra-online/despensa/desayunos-y-dulces/chocolates-y-bombones/p/148195,despensa|desayunos_y_dulces|chocolates_y_bombones
"25863632,""DIA AL PUNTO salteado de gambas, ajetes y espárragos verdes bolsa 400 gr"",dia.es,28020,2.95,https://www.dia.es/compra-online/congelados/precocinados/p/267139,congelados|precocinados"
25861160,DIA CAPRICHOSO flan de huevo pack 4 unidades 100 gr,dia.es,28020,1.45,https://www.dia.es/compra-online/despensa/lacteos-y-huevos/postres/p/3387,despensa|lacteos_y_huevos|postres
25857116,Preparado para rebozar crujiente crunchy crumbs Esgir sin gluten 200 g.,carrefour.es,28020,2.05,https://www.carrefour.es/supermercado/preparado-para-rebozar-crujiente-crunchy-crumbs-esgir-sin-gluten-200-g/R-VC4AECOMM-336529/p,la_despensa|panaderia_bolleria_y_pasteleria|pan_rallado_y_rebozados
25864778,LIGERINA bayeta microfibra cristales y espejos paquete 1 ud,dia.es,28020,1.29,https://www.dia.es/compra-online/cuidado-del-hogar/utensilios-de-limpieza/p/288010,cuidado_del_hogar|utensilios_de_limpieza
25867437,Helado mini sándwich nata Hacendado,mercadona.es,28020,2.3,https://tienda.mercadona.es/product/64450/helado-mini-sandwich-nata-hacendado-caja,congelados|helados
